id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url
1068531713880379397,1068441330206957568,1543592787000,2018-11-30,08:46:27,MST,257164690,xingfamily,George Xing,,老方，有空希望科普一下基因编辑脱靶的后果，以及为什么不会搞出怪物、超人。这方面大众基本上都是从科幻片得到的知识。,['fangshimin'],[],[],0,0,1,,[],https://twitter.com/xingfamily/status/1068531713880379397,,
1068531593533317120,1068531593533317120,1543592758000,2018-11-30,08:45:58,MST,3310260026,lotus_pak,呼唤良知 結束迫害,,唐靖远：贺建奎基因编辑 回避了三个重要问题（视频）  https://www.tuidang.org/2018/11/30/%e5%94%90%e9%9d%96%e8%bf%9c%ef%bc%9a%e8%b4%ba%e5%bb%ba%e5%a5%8e%e5%9f%ba%e5%9b%a0%e7%bc%96%e8%be%91-%e5%9b%9e%e9%81%bf%e4%ba%86%e4%b8%89%e4%b8%aa%e9%87%8d%e8%a6%81%e9%97%ae%e9%a2%98%ef%bc%88%e8%a7%86/ … 來自 @全球退党服务中心,,['https://www.tuidang.org/2018/11/30/%e5%94%90%e9%9d%96%e8%bf%9c%ef%bc%9a%e8%b4%ba%e5%bb%ba%e5%a5%8e%e5%9f%ba%e5%9b%a0%e7%bc%96%e8%be%91-%e5%9b%9e%e9%81%bf%e4%ba%86%e4%b8%89%e4%b8%aa%e9%87%8d%e8%a6%81%e9%97%ae%e9%a2%98%ef%bc%88%e8%a7%86/'],[],0,0,1,,[],https://twitter.com/lotus_pak/status/1068531593533317120,,
1068530226127196160,1068530226127196160,1543592432000,2018-11-30,08:40:32,MST,946782271687811075,mnrrfbliz2rqa0y,血拼✊✊✊传郭文贵爆料将救你命,,【热点互动】基因编辑婴儿诞生 〝潘朵拉魔盒〞打开？(贺建奎_大陆科学家)  https://youtu.be/_qSDldNVMy4  来自 @YouTube在美国学技术，明知是违背人理道德的行为，损人利己的为了一己私利，别国立法禁止使用的技术，硬说成是创新发明，真是无耻到极点。,['youtube'],['https://youtu.be/_qSDldNVMy4'],[],0,3,3,,[],https://twitter.com/mnrrfbLiZ2rqA0y/status/1068530226127196160,,
1068529716787695616,1068294587222016000,1543592311000,2018-11-30,08:38:31,MST,1010772415,kidiom,kidiom,,人民网，并非人民日报。 还有小编也不清楚基因编辑危害。很容易人云亦云，抢发新闻而已。不值得大惊小怪。,['lifetimeuscn'],[],[],0,0,1,,[],https://twitter.com/kidiom/status/1068529716787695616,,
1068528608472260608,1068528608472260608,1543592047000,2018-11-30,08:34:07,MST,20845447,rfi_cn,RFI 华语 - 法国国际广播电台,,官方疑放弃力挺基因编辑诞双胞胎女婴民族骄傲 陷过街老鼠  https://rfi.my/3O8G.t  pic.twitter.com/0v3cFHrRjC,,['https://rfi.my/3O8G.t'],['https://pbs.twimg.com/media/DtQtGzNUwAE8q5Y.jpg'],1,5,7,,[],https://twitter.com/RFI_Cn/status/1068528608472260608,,
1068528031226949632,1068528031226949632,1543591909000,2018-11-30,08:31:49,MST,104791816,molihua_org,中国茉莉花革命,,"官方疑放弃力挺基因编辑诞双胞胎女婴 ""民族骄傲""陷过街老鼠  http://dlvr.it/QsVMZz ",,['http://dlvr.it/QsVMZz'],[],0,0,0,,[],https://twitter.com/molihua_org/status/1068528031226949632,,
1068525981529444352,1068525981529444352,1543591420000,2018-11-30,08:23:40,MST,498409102,boxunn,博讯焦点,,基因编辑诞双胞胎女婴民族骄傲 陷过街老鼠 :  https://ift.tt/2DPKqCN ,,['https://ift.tt/2DPKqCN'],[],0,0,0,,[],https://twitter.com/BoxunN/status/1068525981529444352,,
1068525154353856512,1068417749909614592,1543591223000,2018-11-30,08:20:23,MST,780126985250934784,k_youngi,杨奇,,相比基因编辑，人造生命是不是更刺激呢？🤭  pic.twitter.com/n4oq9hfxEu,"['pideqihuanpl', 'nytchinese', 'peter13690']",[],['https://pbs.twimg.com/media/DtQp8viVYAACW-M.jpg'],0,0,0,,[],https://twitter.com/K_YoungI/status/1068525154353856512,,
1068525063706529793,1068525063706529793,1543591202000,2018-11-30,08:20:02,MST,233853782,javeeane,Javeane,,人为基因编辑引起的不良突变和自然演进基因突变，正如主动找雷劈和不小心偶然被雷劈的区别。,,[],[],0,1,1,,[],https://twitter.com/Javeeane/status/1068525063706529793,,
1068522921415467009,1068522921415467009,1543590691000,2018-11-30,08:11:31,MST,888949717605916672,fa2czukhtiwdsjw,草根,,《建民论推墙406》非洲外交带来重大艾滋病隐患，基因编辑剑指艾滋病。  https://youtu.be/uc_QKlfJziY  來自 @YouTube,['youtube'],['https://youtu.be/uc_QKlfJziY'],[],0,0,0,,[],https://twitter.com/FA2cZUKHtIWdsjw/status/1068522921415467009,,
