,date,HASHTAG,count_hashtag
416,2018-09-04,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'SPRINGST', 'AUSPOL', 'FAIRFUNDINGNOW', 'U20WWC', '7NEWSMELB', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
417,2018-09-04,['米兔'],1
419,2018-09-04,['米兔'],1
420,2018-09-04,['NGOCN'],1
422,2018-09-04,"['朱军', '米兔']",2
423,2018-09-04,"['朱军', '米兔']",2
425,2018-09-03,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'FAIRFUNDINGNOW', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
426,2018-09-03,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'FAIRFUNDINGNOW', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'QANDA', 'GOOGLEPAY']",17
427,2018-09-03,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'VENMO', 'FAIRFUNDINGNOW', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'AAH18', 'GOOGLEPAY']",18
431,2018-09-02,['CINA'],1
432,2018-09-02,['网曝大陆知名电商京东刘强东在美性侵女大学生被警方逮捕'],1
433,2018-09-02,['社交工程'],1
437,2018-09-02,"['香蕉左', '小粉绿', 'WOMEN', '圣三一']",4
438,2018-09-01,['WOMEN'],1
450,2018-08-30,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'VENMO', 'ZELLE', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'AAH18', '4S2018', 'GOOGLEPAY']",19
451,2018-08-30,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'VENMO', 'ZELLE', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'AAH18', '4S2018', 'GOOGLEPAY']",19
452,2018-08-30,"['GETONBOARDQLD', 'MUFC', 'BTSPORTSCORE', 'CRAZYRICHASIANS', 'MASTERCHEFAU', '7NEWS', 'MYTAUCKLAND', 'PAYPAL', 'CASHAPP', 'VENMO', 'ZELLE', 'U20WWC', 'YAMATO2202', '9NEWS', 'CROENG', 'THEBACHELORAU', 'AAH18', '4S2018', 'GOOGLEPAY']",19
453,2018-08-29,"['滴滴打车', 'TAXI', 'UBER', 'DIDICHUXING', '性侵']",5
455,2018-08-28,['米兔'],1
456,2018-08-28,['日本'],1
465,2018-08-24,"['性别', '性侵', '杰哥']",3
466,2018-08-24,"['性别', '性侵', '杰哥']",3
470,2018-08-24,['恋童癖'],1
473,2018-08-24,"['美国网路新闻奖', 'SUPPLYCHAIN', '供应链调查', 'IJASIA18', '报道亚洲大会18']",5
475,2018-08-24,['YOUTOO'],1
477,2018-08-23,"['CHINA', 'DIARY']",2
478,2018-08-23,['那她的目的是什么'],1
479,2018-08-23,"['鸿茅药酒', '假疫苗', '明星逃税', 'P2P', '龙泉寺', '山东寿光', '深圳坪山', '租金爆涨']",8
486,2018-08-23,"['DISABLED', 'RELIGION', 'EMIGRATION', 'NATIONALITY']",4
489,2018-08-22,['WOMENLIVINGCHINA'],1
491,2018-08-22,"['ASIAARGENTO', 'JIMMYBENNETT']",2
495,2018-08-22,"['观点', '我也是']",2
503,2018-08-21,['以上帝的名义'],1
508,2018-08-20,"['ASIAARGENTO', 'MENUSNOHK']",2
510,2018-08-20,"['关键国际', '义大利', '艾莎阿基多', '好莱坞', '性侵', '性骚扰', '童星', '创伤', '受害者', '加害者']",10
513,2018-08-20,"['ASIAARGENTO', 'JIMMYBENNETT', '艾希亚阿基多', '吉米班奈特']",4
516,2018-08-20,"['ASIAARGENTO', 'NYT']",2
517,2018-08-20,['METOOMATTERS'],1
518,2018-08-20,['CHINA'],1
523,2018-08-19,"['大连中院庭审', '郭文鬼末日']",2
524,2018-08-19,"['KEVINSPACEY', 'SCANDAL', 'BOXOFFICE', '票房', '凯文史贝西', '丑闻', '亿万男孩俱乐部', 'BILLIONAIREBOYSCLUB']",8
527,2018-08-19,['我也是'],1
540,2018-08-16,['米兔'],1
543,2018-08-16,['米兔'],1
544,2018-08-16,['以上帝之名'],1
545,2018-08-15,['释昭慧'],1
549,2018-08-15,"['共产佛教', '魔鬼在统治我们的世界', '性侵', 'CCP', 'COMMUNISTPARTY', 'CHINA', '性丑闻', '释学诚', 'FAKEMONK']",9
551,2018-08-15,"['中国', '中囯', 'CHINA', '佛教', '释学诚', '性丑闻']",6
552,2018-08-15,['TRUTHCN'],1
556,2018-08-15,"['被删后', '偶也一样', '来代替了']",3
557,2018-08-15,"['关键国际', '性侵', '南韩', '总统', '安熙正', '文在寅接班人']",6
562,2018-08-14,"['经济罪犯郭文贵', '郭文鬼末日']",2
563,2018-08-14,"['韩国', 'KOREA', '安熙正', 'アン', '안희정']",5
564,2018-08-14,"['去你的台湾女权过高', '去你的生女儿最好', '去你的不知道什么是父权红利', '父权烂渣巨婴废物不分男女全都该死']",4
566,2018-08-13,['女权运动'],1
573,2018-08-12,['中国'],1
575,2018-08-12,['中国'],1
576,2018-08-12,['METOOMATTERS'],1
583,2018-08-10,"['日本', 'JAPAN', '写真', '写真', '石川优实', '石川优实', 'YUMIISHIKAWA']",7
586,2018-08-09,['沈从文'],1
591,2018-08-08,['METOOCHINA'],1
592,2018-08-08,['METOOCHINA'],1
593,2018-08-08,"['脸书', '直播', '秦伟', '性侵', '性侵得逞', '爆料', '丑闻']",7
606,2018-08-07,['发错论坛了吧北七'],1
608,2018-08-07,['LGBT'],1
613,2018-08-06,['读者来函'],1
619,2018-08-05,"['METOO投诉扩至警队', '香港警队', '女警投诉', '包庇警长', '性骚扰', '谭香文', '公务员内部调查机制', '漏洞']",8
621,2018-08-05,"['ASU', 'KRAUSS']",2
626,2018-08-04,['性侵'],1
631,2018-08-03,['LGBTQ'],1
632,2018-08-03,"['龙泉寺', '性侵', 'METOOINCHINA', 'XI', 'XIJINPING', 'CHINA']",6
642,2018-08-03,"['习近平', '龙泉寺', '性侵', 'CHINA', 'XINJINPING', 'XI']",6
646,2018-08-02,['METOOCHINA'],1
648,2018-08-02,['METOO大辩论'],1
649,2018-08-02,"['阿弥陀佛', '阿METOO佛', '大和尚', '释学诚']",4
650,2018-08-02,"['ASUKATEAM女王团队', 'KCW经销商ASUKA']",2
651,2018-08-02,['CASTLEROCK'],1
653,2018-08-02,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
654,2018-08-02,"['CHINA', '中国', '泛亚', 'XIJINPING', '董瑶琼', '岳昕', 'ABC', 'AFP', 'TRUMP', 'BBC', 'CNN', 'FOXNEWSUS', 'FT', 'NEWS', 'HUAWEI', 'REUTERS', 'PANDA', 'RFI', 'RT', 'SINA', 'TVB', 'CCTV', 'UN', 'WORLDNEWS', 'WTO', 'GOOGLE', 'ZTE', '一带一路', '厉害了', '中国制造2025', '美中贸易战', '新唐人', '新华社', 'WTO']",34
655,2018-08-02,"['释学诚', '佛教协会会长', '大和尚']",3
660,2018-08-02,['胶事录特约转载'],1
667,2018-08-02,['SINGAPORE'],1
668,2018-08-02,['METOO大辩论'],1
669,2018-08-02,"['色即是空', '空即是色', '今日中国报']",3
673,2018-08-01,['WOMEN'],1
674,2018-08-01,"['俺也一样', '老子也是']",2
